sumlev,geocode,namelsad,coname,state,county,placefp,pop2020,hu2020
155,3743320131,Milwaukee CDP,Northampton County,37,131,43320,157,95
155,3743360179,Mineral Springs town,Union County,37,179,43360,3159,1166
155,3743440137,Minnesott Beach town,Pamlico County,37,137,43440,530,365
155,3743480179,Mint Hill town,Union County,37,179,43480,6,1
155,3743480119,Mint Hill town,Mecklenburg County,37,119,43480,26444,10301
155,3743580167,Misenheimer village,Stanly County,37,167,43580,650,125
155,3743720059,Mocksville town,Davie County,37,59,43720,5900,2529
155,3743860127,Momeyer town,Nash County,37,127,43860,277,140
155,3743880037,Moncure CDP,Chatham County,37,37,43880,780,347
155,3743920179,Monroe city,Union County,37,179,43920,34562,12924
155,3744100021,Montreat town,Buncombe County,37,21,44100,901,618
155,3744160045,Mooresboro town,Cleveland County,37,45,44160,293,135
155,3744220097,Mooresville town,Iredell County,37,97,44220,50193,20842
155,3744280193,Moravian Falls CDP,Wilkes County,37,193,44280,1712,835
155,3744320031,Morehead City town,Carteret County,37,31,44320,9556,5940
155,3744400023,Morganton city,Burke County,37,23,44400,17474,7559
155,3744520063,Morrisville town,Durham County,37,63,44520,207,133
155,3744520183,Morrisville town,Wake County,37,183,44520,29423,11624
155,3744560007,Morven town,Anson County,37,7,44560,329,171
155,3744700089,Mountain Home CDP,Henderson County,37,89,44700,3490,1538
155,3744770035,Mountain View CDP,Catawba County,37,35,44770,3590,1455
155,3744800171,Mount Airy city,Surry County,37,171,44800,10676,5378
155,3744900123,Mount Gilead town,Montgomery County,37,123,44900,1171,501
155,3744960071,Mount Holly city,Gaston County,37,71,44960,17703,7687
155,3745100061,Mount Olive town,Duplin County,37,61,45100,5,4
155,3745100191,Mount Olive town,Wayne County,37,191,45100,4193,1965
